setup	sample_idx	sample_id	readiness_strength	asymmetry	row_entropy	top1_mass	top4_mass	argmax_dist	p_nbr_le1	locality_score	local_greedy_dist	directionality	out_degree_std	in_degree_std
e2_large	0	212188	25.90275	1.151774	0.909243	0.06193	0.200393	5.1875	0.046875	0.027344	5.888889	0.28125	0.275632	0.102964
e2_large	1	299036	28.39266	1.246066	0.891831	0.068059	0.218214	4.984375	0.078125	0.06543	5.269841	0.234375	0.301928	0.102236
e2_large	2	475978	25.73248	1.202417	0.901154	0.06418	0.208547	5.015625	0.0625	0.05957	5.222222	0.234375	0.266639	0.096487
e2_large	3	588988	27.539262	1.195268	0.902531	0.06207	0.204764	5.640625	0.046875	0.0	5.571429	0.265625	0.294482	0.101881
e2_large	4	138859	25.654496	1.181388	0.904829	0.063991	0.209373	5.953125	0.015625	0.0	5.634921	0.234375	0.27653	0.087634
e2_large	5	764498	29.517672	1.250486	0.888531	0.066866	0.2188	4.890625	0.03125	0.083008	5.095238	0.203125	0.31145	0.105119
e2_large	6	337706	28.624964	1.210576	0.898087	0.065844	0.208432	5.625	0.046875	0.0	5.52381	0.21875	0.306821	0.104239
e2_large	7	257163	24.738682	1.203148	0.892774	0.068338	0.222353	5.453125	0.0625	0.0	4.904762	0.234375	0.261103	0.093157
e2_large	8	632647	26.595375	1.193461	0.897787	0.065137	0.210391	5.5625	0.046875	0.0	5.349206	0.25	0.278026	0.109847
e2_large	9	517320	25.667796	1.191969	0.896601	0.065466	0.213013	5.515625	0.046875	0.0	5.238095	0.28125	0.27009	0.091209
e2_large	10	53867	25.804349	1.192823	0.898625	0.064994	0.212258	5.484375	0.046875	0.0	5.444444	0.25	0.273301	0.099469
e2_large	11	501703	27.60757	1.217531	0.899841	0.063258	0.208824	5.4375	0.0625	0.0	5.380952	0.25	0.291067	0.102401
e2_large	12	722280	27.966453	1.201747	0.902193	0.064722	0.212002	5.0625	0.0625	0.050781	4.730159	0.21875	0.299816	0.100435
e2_large	13	689644	22.983411	1.190801	0.904079	0.064065	0.208941	5.375	0.015625	0.0	5.349206	0.234375	0.24212	0.092492
e2_large	14	220424	26.252256	1.201813	0.898368	0.064569	0.209921	5.734375	0.03125	0.0	5.698413	0.25	0.27305	0.101585
e2_large	15	221365	24.365296	1.216627	0.896396	0.06673	0.216163	5.5	0.03125	0.0	5.809524	0.265625	0.255156	0.091859
e2_large	16	666661	25.732874	1.197065	0.90365	0.062422	0.204518	5.25	0.0625	0.015625	4.84127	0.21875	0.271675	0.098588
e2_large	17	766729	25.847172	1.235093	0.891722	0.067043	0.216821	5.921875	0.03125	0.0	5.904762	0.265625	0.272075	0.09603
e2_large	18	393371	25.790571	1.204926	0.905546	0.060808	0.201279	5.09375	0.0625	0.044922	5.079365	0.21875	0.275176	0.097065
e2_large	19	763584	27.260246	1.213309	0.897226	0.063793	0.209399	4.96875	0.078125	0.068359	4.761905	0.25	0.283302	0.107114
