setup	sample_idx	sample_id	readiness_strength	asymmetry	row_entropy	top1_mass	top4_mass	argmax_dist	p_nbr_le1	locality_score	local_greedy_dist	directionality	out_degree_std	in_degree_std
e3_ctrl_small	0	212188	17.717283	0.563243	0.974071	0.046256	0.145205	2.781250	0.593750	0.478516	3.587302	0.359375	0.047711	0.012981
e3_ctrl_small	1	299036	18.332985	0.563831	0.974765	0.045513	0.143302	3.031250	0.562500	0.431641	3.809524	0.390625	0.049136	0.013940
e3_ctrl_small	2	475978	15.810599	0.518471	0.975150	0.047535	0.145186	2.875000	0.609375	0.460937	3.682540	0.406250	0.041581	0.014194
e3_ctrl_small	3	588988	18.342000	0.560770	0.974414	0.046067	0.143158	3.062500	0.531250	0.425781	4.063492	0.390625	0.049665	0.014135
e3_ctrl_small	4	138859	15.533641	0.545364	0.973902	0.045750	0.145388	3.609375	0.437500	0.323242	4.095238	0.312500	0.040127	0.013861
e3_ctrl_small	5	764498	18.237840	0.573908	0.974127	0.048516	0.147115	3.109375	0.531250	0.416992	4.523810	0.375000	0.049913	0.012527
e3_ctrl_small	6	337706	16.445968	0.526135	0.974679	0.045882	0.142529	2.625000	0.671875	0.507812	4.253968	0.421875	0.043417	0.012772
e3_ctrl_small	7	257163	17.674459	0.547199	0.973966	0.047971	0.144857	2.484375	0.671875	0.534180	3.555556	0.468750	0.047711	0.013443
e3_ctrl_small	8	632647	17.023424	0.541890	0.973214	0.046488	0.146939	2.531250	0.593750	0.525391	3.619048	0.421875	0.046363	0.012387
e3_ctrl_small	9	517320	16.024236	0.540523	0.974268	0.047669	0.146152	2.546875	0.687500	0.522461	3.746032	0.437500	0.042363	0.013331
e3_ctrl_small	10	53867	14.669304	0.538341	0.976516	0.044551	0.140893	3.015625	0.609375	0.434570	4.047619	0.375000	0.039854	0.011351
e3_ctrl_small	11	501703	17.335294	0.552811	0.975049	0.044287	0.140104	3.687500	0.484375	0.308594	4.174603	0.296875	0.045171	0.014976
e3_ctrl_small	12	722280	17.353400	0.560804	0.974363	0.044376	0.142223	3.171875	0.562500	0.405273	4.047619	0.375000	0.045310	0.014986
e3_ctrl_small	13	689644	14.934313	0.503679	0.977762	0.045142	0.139253	2.656250	0.656250	0.501953	3.396825	0.453125	0.040207	0.012362
e3_ctrl_small	14	220424	14.936328	0.534295	0.975330	0.045487	0.142561	2.875000	0.546875	0.460937	3.809524	0.468750	0.039527	0.012382
e3_ctrl_small	15	221365	14.177925	0.506495	0.977041	0.044135	0.140355	2.875000	0.515625	0.460937	3.730159	0.359375	0.037585	0.012155
e3_ctrl_small	16	666661	15.808783	0.534319	0.975214	0.045823	0.144289	2.906250	0.515625	0.455078	3.936508	0.390625	0.041989	0.013386
e3_ctrl_small	17	766729	16.453703	0.540856	0.975088	0.043903	0.141487	2.718750	0.562500	0.490234	3.190476	0.484375	0.043621	0.013114
e3_ctrl_small	18	393371	15.843042	0.530680	0.975075	0.045433	0.142979	3.250000	0.562500	0.390625	4.222222	0.390625	0.041659	0.013080
e3_ctrl_small	19	763584	16.276705	0.526493	0.977340	0.043267	0.138081	3.046875	0.562500	0.428711	3.619048	0.390625	0.042186	0.014169
e3_ctrl_small	20	603776	15.609637	0.531333	0.974417	0.047419	0.145448	3.171875	0.515625	0.405273	3.682540	0.343750	0.040505	0.013738
e3_ctrl_small	21	619790	15.028137	0.522873	0.975232	0.046427	0.144060	2.750000	0.593750	0.484375	4.190476	0.375000	0.039852	0.012993
e3_ctrl_small	22	748239	14.553004	0.522090	0.976329	0.043740	0.140170	3.015625	0.562500	0.434570	4.015873	0.406250	0.038226	0.012209
e3_ctrl_small	23	496290	17.485062	0.557824	0.975019	0.045996	0.142161	2.937500	0.546875	0.449219	3.619048	0.359375	0.045052	0.015289
e3_ctrl_small	24	298474	14.298643	0.508607	0.976523	0.042083	0.138220	3.843750	0.453125	0.279297	4.000000	0.359375	0.037637	0.012660
e3_ctrl_small	25	186184	17.865458	0.563205	0.974368	0.045935	0.143806	3.250000	0.531250	0.390625	4.317460	0.312500	0.047704	0.013879
e3_ctrl_small	26	13118	15.731476	0.507503	0.977644	0.042105	0.136163	2.953125	0.578125	0.446289	3.444444	0.390625	0.041903	0.013246
e3_ctrl_small	27	405703	17.165897	0.553436	0.975698	0.045390	0.141783	3.062500	0.531250	0.425781	4.142857	0.406250	0.045578	0.015658
e3_ctrl_small	28	564350	16.364729	0.551157	0.974776	0.044699	0.141352	2.921875	0.593750	0.452148	3.492063	0.390625	0.044858	0.011738
e3_ctrl_small	29	557362	16.606077	0.543582	0.976205	0.044545	0.140207	2.562500	0.625000	0.519531	3.158730	0.359375	0.043734	0.014478
e3_ctrl_small	30	209303	17.021615	0.555379	0.974077	0.045689	0.145418	2.468750	0.640625	0.537109	3.539683	0.390625	0.045579	0.013350
e3_ctrl_small	31	108492	17.652011	0.550363	0.975127	0.043535	0.140763	3.750000	0.390625	0.296875	3.952381	0.281250	0.045624	0.014817
e3_ctrl_small	32	82329	16.720755	0.548170	0.974663	0.046987	0.143692	2.546875	0.640625	0.522461	3.634921	0.437500	0.044238	0.013584
e3_ctrl_small	33	734779	16.625976	0.542540	0.975578	0.044559	0.142935	3.015625	0.484375	0.434570	3.984127	0.390625	0.044401	0.012714
e3_ctrl_small	34	203929	16.746141	0.555693	0.975323	0.045102	0.140884	3.375000	0.562500	0.367187	4.000000	0.375000	0.043887	0.013127
e3_ctrl_small	35	465228	17.276782	0.542317	0.975731	0.046365	0.143324	3.218750	0.500000	0.396484	3.825397	0.328125	0.046471	0.012374
e3_ctrl_small	36	735817	15.403810	0.544541	0.973771	0.046452	0.145449	3.359375	0.500000	0.370117	4.619048	0.359375	0.040843	0.011592
e3_ctrl_small	37	718211	15.430444	0.522673	0.975943	0.045385	0.140788	2.781250	0.609375	0.478516	3.714286	0.421875	0.040559	0.013741
e3_ctrl_small	38	263219	15.966027	0.526415	0.974496	0.044687	0.143476	3.062500	0.468750	0.425781	3.873016	0.296875	0.041909	0.013649
e3_ctrl_small	39	444011	16.265711	0.546772	0.974338	0.045221	0.144307	2.968750	0.593750	0.443359	4.095238	0.375000	0.043604	0.012787
e3_ctrl_small	40	392219	19.092701	0.577521	0.973404	0.049550	0.147336	3.062500	0.562500	0.425781	4.634921	0.359375	0.051153	0.014934
e3_ctrl_small	41	556725	14.721388	0.506655	0.976779	0.043216	0.140171	3.250000	0.593750	0.390625	3.666667	0.390625	0.039143	0.011904
e3_ctrl_small	42	481318	14.802229	0.517825	0.973629	0.046213	0.144321	3.296875	0.531250	0.381836	3.873016	0.406250	0.037766	0.014161
e3_ctrl_small	43	443666	16.964358	0.546925	0.976172	0.043572	0.140485	3.250000	0.484375	0.390625	4.095238	0.312500	0.044409	0.014704
e3_ctrl_small	44	325297	17.572953	0.553198	0.975446	0.042880	0.141074	2.640625	0.578125	0.504883	3.682540	0.390625	0.047370	0.012999
e3_ctrl_small	45	722634	18.995066	0.557783	0.975211	0.045305	0.141957	3.078125	0.578125	0.422852	4.444444	0.375000	0.050485	0.014469
e3_ctrl_small	46	515933	16.350619	0.544497	0.974969	0.046092	0.142595	2.796875	0.546875	0.475586	3.761905	0.437500	0.043314	0.013811
e3_ctrl_small	47	627060	17.146747	0.537102	0.976670	0.043977	0.139107	3.093750	0.515625	0.419922	4.111111	0.390625	0.044934	0.014275
e3_ctrl_small	48	215351	13.359023	0.489721	0.977189	0.044142	0.139316	3.453125	0.546875	0.352539	4.396825	0.281250	0.034946	0.011737
e3_ctrl_small	49	257371	14.423759	0.518781	0.975917	0.044668	0.142783	3.359375	0.515625	0.370117	3.936508	0.296875	0.038057	0.012608
e3_ctrl_small	50	497883	15.765030	0.530992	0.975027	0.045029	0.141949	3.312500	0.531250	0.378906	4.158730	0.390625	0.041849	0.013123
e3_ctrl_small	51	584057	14.886163	0.525702	0.976044	0.042348	0.138506	3.171875	0.500000	0.405273	3.746032	0.328125	0.039120	0.013874
e3_ctrl_small	52	294246	17.210730	0.553122	0.974736	0.045117	0.143381	3.187500	0.437500	0.402344	4.047619	0.359375	0.045294	0.013845
e3_ctrl_small	53	651272	15.653647	0.527924	0.974909	0.046051	0.143126	2.796875	0.609375	0.475586	3.952381	0.406250	0.041038	0.013044
e3_ctrl_small	54	308061	15.255961	0.533566	0.974583	0.044687	0.142397	3.875000	0.484375	0.273437	4.047619	0.312500	0.040609	0.011842
e3_ctrl_small	55	301354	17.449591	0.541468	0.975313	0.044962	0.140985	3.437500	0.437500	0.355469	4.222222	0.312500	0.045248	0.014695
e3_ctrl_small	56	481161	15.230654	0.532805	0.973903	0.046745	0.145200	3.187500	0.484375	0.402344	4.333333	0.343750	0.039661	0.013060
e3_ctrl_small	57	480827	16.219980	0.552875	0.974468	0.045861	0.143333	3.281250	0.453125	0.384766	4.349206	0.296875	0.042799	0.013519
e3_ctrl_small	58	636624	16.728438	0.545613	0.974175	0.046012	0.145253	3.187500	0.500000	0.402344	4.190476	0.312500	0.043489	0.013488
e3_ctrl_small	59	795507	16.699723	0.534421	0.975422	0.044478	0.141757	2.421875	0.703125	0.545898	3.730159	0.421875	0.044341	0.014205
e3_ctrl_small	60	429556	12.767895	0.503974	0.975647	0.044630	0.141199	2.765625	0.609375	0.481445	3.603175	0.343750	0.033981	0.012406
e3_ctrl_small	61	446465	14.192524	0.521702	0.973391	0.047586	0.146808	2.671875	0.609375	0.499023	3.730159	0.375000	0.037795	0.011365
e3_ctrl_small	62	434483	16.838296	0.541569	0.975961	0.045763	0.140781	2.812500	0.625000	0.472656	3.730159	0.390625	0.045610	0.013453
e3_ctrl_small	63	626575	17.157710	0.536199	0.974709	0.046957	0.145169	3.015625	0.515625	0.434570	4.063492	0.406250	0.045398	0.012395
e3_ctrl_small	64	777557	19.532455	0.593638	0.972150	0.047171	0.148038	2.671875	0.562500	0.499023	3.539683	0.375000	0.051575	0.015879
e3_ctrl_small	65	386197	15.498971	0.544552	0.975209	0.043938	0.141850	3.562500	0.484375	0.332031	3.888889	0.328125	0.040682	0.013176
e3_ctrl_small	66	111836	17.595283	0.558231	0.976123	0.044168	0.140839	3.265625	0.500000	0.387695	4.380952	0.343750	0.045980	0.015231
e3_ctrl_small	67	673453	15.864277	0.530596	0.976149	0.043410	0.139585	2.453125	0.671875	0.540039	3.793651	0.328125	0.041767	0.013256
e3_ctrl_small	68	458158	16.422956	0.567674	0.972771	0.047171	0.147809	3.156250	0.468750	0.408203	4.222222	0.343750	0.043123	0.013824
e3_ctrl_small	69	780750	12.995653	0.506380	0.974560	0.046063	0.145089	3.281250	0.531250	0.384766	4.333333	0.390625	0.033928	0.011996
e3_ctrl_small	70	8717	14.715008	0.530484	0.974329	0.045742	0.143951	2.921875	0.578125	0.452148	3.666667	0.375000	0.038281	0.012735
e3_ctrl_small	71	509097	17.372804	0.569420	0.974378	0.046111	0.146077	3.296875	0.515625	0.381836	3.888889	0.390625	0.045556	0.013616
e3_ctrl_small	72	105807	15.729931	0.533465	0.975571	0.045207	0.141578	2.906250	0.609375	0.455078	3.952381	0.421875	0.040778	0.013943
e3_ctrl_small	73	552624	19.764949	0.575916	0.974474	0.044380	0.141357	2.843750	0.531250	0.466797	3.952381	0.343750	0.050238	0.017137
e3_ctrl_small	74	242859	17.820694	0.567006	0.974674	0.046889	0.144577	3.187500	0.562500	0.402344	3.793651	0.375000	0.048263	0.013765
e3_ctrl_small	75	287297	15.627120	0.527548	0.975161	0.045354	0.143707	2.796875	0.578125	0.475586	3.634921	0.359375	0.041697	0.012593
e3_ctrl_small	76	676175	15.929897	0.547146	0.975494	0.042863	0.140233	3.656250	0.453125	0.314453	4.349206	0.375000	0.041844	0.013710
e3_ctrl_small	77	571841	14.720134	0.523737	0.974632	0.046274	0.145056	3.140625	0.546875	0.411133	4.015873	0.359375	0.039641	0.012783
e3_ctrl_small	78	408429	17.141526	0.548970	0.973838	0.047262	0.144992	2.843750	0.531250	0.466797	3.539683	0.375000	0.044747	0.013591
e3_ctrl_small	79	481372	15.591673	0.515379	0.975607	0.044972	0.140716	2.828125	0.609375	0.469727	3.507937	0.531250	0.041873	0.013644
e3_ctrl_small	80	44006	17.651219	0.560095	0.974867	0.045787	0.142792	2.859375	0.515625	0.463867	3.539683	0.375000	0.046771	0.013477
e3_ctrl_small	81	656029	14.331131	0.520515	0.973729	0.047320	0.146765	2.625000	0.593750	0.507812	4.015873	0.437500	0.037708	0.012367
e3_ctrl_small	82	117647	15.890160	0.531712	0.974040	0.045931	0.145707	3.031250	0.546875	0.431641	4.142857	0.390625	0.041648	0.013314
e3_ctrl_small	83	680597	16.818145	0.543259	0.975386	0.045488	0.142352	2.890625	0.625000	0.458008	4.000000	0.390625	0.044367	0.013880
e3_ctrl_small	84	37072	18.186599	0.539243	0.974060	0.047105	0.145210	2.187500	0.687500	0.589844	3.380952	0.453125	0.049162	0.014342
e3_ctrl_small	85	13510	15.704584	0.534169	0.976278	0.045456	0.141155	2.890625	0.578125	0.458008	4.047619	0.406250	0.041125	0.013109
