setup	sample_idx	PC1	PC2
e2_large	0	1.8776	-1.1168
e2_large	1	2.5073	-1.6016
e2_large	2	2.0765	-1.4641
e2_large	3	2.1189	-1.3202
e2_large	4	2.1439	-1.4027
e2_large	5	2.5509	-1.8189
e2_large	6	2.3401	-1.5848
e2_large	7	2.4663	-1.5857
e2_large	8	2.2712	-1.4428
e2_large	9	2.3088	-1.3182
e2_large	10	2.2537	-1.4296
e2_large	11	2.2215	-1.4508
e2_large	12	2.1792	-1.5814
e2_large	13	2.0499	-1.4516
e2_large	14	2.2672	-1.4172
e2_large	15	2.3807	-1.3757
e2_large	16	1.9770	-1.5492
e2_large	17	2.5249	-1.4171
e2_large	18	1.8568	-1.5121
e2_large	19	2.1509	-1.4767
e2_large	20	2.2754	-1.5725
e2_large	21	2.1226	-1.4295
e2_large	22	2.1869	-1.5254
e2_large	23	2.3494	-1.5445
e2_large	24	2.3405	-1.3028
e2_large	25	1.9827	-1.3894
e2_large	26	2.0863	-1.4394
e2_large	27	2.1942	-1.6670
e2_large	28	1.8242	-1.3828
e2_large	29	2.4310	-1.8070
e2_large	30	2.1117	-1.0704
e2_large	31	2.2820	-1.3927
e2_large	32	2.9777	-1.7454
e2_large	33	2.2637	-1.6504
e2_large	34	1.6843	-1.4633
e2_large	35	2.5212	-1.6852
e2_large	36	2.2433	-1.5022
e2_large	37	2.4137	-1.7300
e2_large	38	2.2959	-1.6465
e2_large	39	2.0448	-1.4437
e2_large	40	1.7783	-1.3935
e2_large	41	2.5646	-1.5836
e2_large	42	2.2849	-1.5326
e2_large	43	2.1496	-1.2801
e2_large	44	2.5369	-1.4950
e2_large	45	2.2062	-1.3246
e2_large	46	1.7643	-1.2169
e2_large	47	2.1161	-1.5865
e2_large	48	2.4098	-1.5198
e2_large	49	2.4434	-1.6439
e2_large	50	2.1226	-1.4737
e2_large	51	2.2995	-1.5331
e2_large	52	2.1148	-1.2750
e2_large	53	2.3323	-1.4598
e2_large	54	2.1757	-1.5014
e2_large	55	2.2729	-1.4601
e2_large	56	2.6338	-1.5994
e2_large	57	2.1296	-1.2692
e2_large	58	1.9285	-1.5412
e2_large	59	2.2068	-1.4564
e2_large	60	2.0012	-1.4261
e2_large	61	2.2142	-1.3623
e2_large	62	2.2494	-1.5971
e2_large	63	2.0120	-1.3978
e2_large	64	1.9609	-1.3118
e2_large	65	1.9274	-1.3508
e2_large	66	2.6939	-1.7065
e2_large	67	2.1372	-1.5468
e2_large	68	2.2426	-1.5810
e2_large	69	2.0771	-1.4876
e2_large	70	2.6485	-1.6585
e2_large	71	2.5605	-1.5836
e2_large	72	1.4061	-1.2550
e2_large	73	2.2852	-1.5479
e2_large	74	1.7392	-1.5173
e2_large	75	2.8158	-1.9134
e2_large	76	2.2375	-1.5027
e2_large	77	2.0859	-1.7269
e2_large	78	2.5756	-1.7496
e2_large	79	2.1239	-1.6117
e2_large	80	1.8779	-1.4242
e2_large	81	2.1230	-1.4202
e2_large	82	1.8144	-1.3249
e2_large	83	2.1364	-1.5252
e2_large	84	2.1235	-1.4643
e2_large	85	2.0938	-1.2142
e2_large	86	2.4584	-1.7198
e2_large	87	2.3238	-1.7754
e2_large	88	2.2605	-1.3807
e2_large	89	2.1672	-1.5610
e2_large	90	2.1322	-1.3352
e2_large	91	1.8652	-1.5639
e2_large	92	2.2482	-1.3103
e2_large	93	2.1487	-1.1409
e2_large	94	2.1751	-1.4797
e2_large	95	2.1090	-1.5070
e2_large	96	2.0241	-1.4571
e2_large	97	2.2686	-1.5735
e2_large	98	1.6562	-1.3898
e2_large	99	2.1797	-1.5944
e2_large	100	2.1470	-1.5850
e2_large	101	3.0949	-1.4291
