setup	metric	mean	std	min	q25	median	q75	max	iqr	cv
e2_large	readiness_strength	26.336987	2.023752	20.920512	24.954757	26.263406	27.705549	33.181296	2.750792	0.076841
e2_large	asymmetry	1.205769	0.026741	1.136515	1.186592	1.204910	1.222438	1.281959	0.035846	0.022178
e2_large	row_entropy	0.898320	0.006264	0.877903	0.894863	0.898552	0.902456	0.915765	0.007594	0.006973
e2_large	top1_mass	0.064732	0.002396	0.057384	0.063190	0.064768	0.066156	0.072394	0.002966	0.037017
e2_large	top4_mass	0.210595	0.006384	0.191725	0.206423	0.210458	0.214285	0.233194	0.007862	0.030316
e2_large	argmax_dist	5.316510	0.292029	4.515625	5.140625	5.312500	5.515625	6.406250	0.375000	0.054929
e2_large	p_nbr_le1	0.056458	0.026748	0.000000	0.046875	0.054688	0.078125	0.140625	0.031250	0.473764
e2_large	locality_score	0.023359	0.032520	0.000000	0.000000	0.003906	0.036133	0.153320	0.036133	1.392181
e2_large	local_greedy_dist	5.286667	0.288466	4.666667	5.063492	5.285714	5.492063	6.063492	0.428571	0.054565
e2_large	directionality	0.242188	0.025943	0.171875	0.218750	0.234375	0.265625	0.328125	0.046875	0.107118
e2_large	out_degree_std	0.278175	0.022042	0.217063	0.263367	0.278289	0.293618	0.352861	0.030251	0.079237
e2_large	in_degree_std	0.101086	0.007357	0.083200	0.095996	0.100359	0.106384	0.119366	0.010388	0.072782
e2_small	readiness_strength	35.603551	2.882145	28.323831	33.657211	35.500255	37.620728	43.765028	3.963517	0.080951
e2_small	asymmetry	1.198629	0.033281	1.088406	1.175470	1.197591	1.220423	1.284350	0.044953	0.027766
e2_small	row_entropy	0.906978	0.005544	0.890034	0.902923	0.907384	0.910966	0.924145	0.008043	0.006113
e2_small	top1_mass	0.071791	0.002364	0.064977	0.070214	0.071966	0.073419	0.077613	0.003205	0.032923
e2_small	top4_mass	0.218130	0.005016	0.202679	0.214565	0.218046	0.221550	0.229452	0.006985	0.022993
e2_small	argmax_dist	5.363073	0.311820	4.468750	5.140625	5.375000	5.578125	6.171875	0.437500	0.058142
e2_small	p_nbr_le1	0.056719	0.028355	0.000000	0.031250	0.062500	0.078125	0.156250	0.046875	0.499915
e2_small	locality_score	0.020658	0.032976	0.000000	0.000000	0.000000	0.036133	0.162109	0.036133	1.596309
e2_small	local_greedy_dist	5.331217	0.294653	4.539683	5.126984	5.333333	5.507937	6.190476	0.380953	0.055269
e2_small	directionality	0.244010	0.028796	0.171875	0.218750	0.234375	0.265625	0.343750	0.046875	0.118010
e2_small	out_degree_std	0.376556	0.033185	0.302515	0.352943	0.374393	0.399535	0.458744	0.046591	0.088127
e2_small	in_degree_std	0.103152	0.007676	0.083169	0.097592	0.102380	0.108571	0.129676	0.010978	0.074416
e3_ctrl_small	readiness_strength	16.273967	1.389801	12.767895	15.307880	16.278750	17.271762	19.872476	1.963882	0.085400
e3_ctrl_small	asymmetry	0.539102	0.018587	0.489721	0.526531	0.540173	0.551750	0.593638	0.025219	0.034478
e3_ctrl_small	row_entropy	0.975034	0.001033	0.972150	0.974332	0.975047	0.975639	0.977762	0.001308	0.001060
e3_ctrl_small	top1_mass	0.045450	0.001362	0.041981	0.044545	0.045390	0.046276	0.049550	0.001731	0.029965
e3_ctrl_small	top4_mass	0.142828	0.002341	0.136163	0.141066	0.142840	0.144599	0.148671	0.003533	0.016388
e3_ctrl_small	argmax_dist	3.024583	0.333677	2.156250	2.796875	3.031250	3.250000	3.984375	0.453125	0.110322
e3_ctrl_small	p_nbr_le1	0.551615	0.062379	0.359375	0.515625	0.554688	0.593750	0.703125	0.078125	0.113084
