n_images	p_nbr_le1_mean	p_nbr_le1_std	locality_score_mean	locality_score_std	argmax_dist_mean
1	0.4609	0.0533	0.3457	0.0634	3.4898
2	0.6547	0.0554	0.5030	0.0647	2.6508
3	0.7406	0.0614	0.5866	0.0585	2.2047
5	0.8336	0.0443	0.6571	0.0486	1.8289
10	0.9070	0.0273	0.7081	0.0320	1.5570
20	0.9391	0.0209	0.7437	0.0204	1.3672
30	0.9586	0.0158	0.7606	0.0146	1.2766
50	0.9695	0.0126	0.7699	0.0130	1.2273
100	0.9781	0.0077	0.7787	0.0070	1.1805
200	0.9789	0.0075	0.7801	0.0042	1.1727
300	0.9836	0.0034	0.7828	0.0019	1.1586
500	0.9844	0.0000	0.7832	0.0000	1.1562
500(global)	0.9844	0.0000	0.7832	0.0000	1.1562
