layer	head	p_nbr_le1	locality_score	argmax_dist
0	0	0.5000	0.3320	3.5625
0	1	0.4531	0.3350	3.5469
0	2	0.8906	0.7451	1.3594
0	3	0.9844	0.7832	1.1562
0	4	0.9531	0.7979	1.0781
0	5	0.5312	0.3994	3.2031
0	6	0.7031	0.5811	2.2344
0	7	0.9844	0.7832	1.1562
1	0	0.2344	0.2529	3.9844
1	1	0.2188	0.1064	4.7656
1	2	0.2969	0.2412	4.0469
1	3	0.1094	0.0000	5.4219
1	4	0.1719	0.1270	4.6562
1	5	0.0625	0.0000	5.9688
1	6	0.3750	0.3701	3.3594
1	7	0.3281	0.1650	4.4531
2	0	0.0938	0.0596	5.0156
2	1	0.1094	0.0479	5.0781
2	2	0.1406	0.1328	4.6250
2	3	0.1562	0.0977	4.8125
2	4	0.0781	0.0000	5.3750
2	5	0.0625	0.0000	5.4375
2	6	0.1406	0.1299	4.6406
2	7	0.1562	0.0000	5.3438
3	0	0.1875	0.2119	4.2031
3	1	0.2031	0.3027	3.7188
3	2	0.1406	0.1885	4.3281
3	3	0.2031	0.3057	3.7031
3	4	0.1562	0.0742	4.9375
3	5	0.2500	0.3408	3.5156
3	6	0.1719	0.0889	4.8594
3	7	0.2188	0.3203	3.6250
GLOBAL	all	0.9844	0.7832	1.1562
