file,label,referenced_by,import_risk,suggested_action,reason
analyses/add_consensus_order_to_gbeta_dataset.py,MAINLINE,py:1;sh:1;doc:2,MED,KEEP,imported_by=test_add_consensus_order_to_gbeta_dataset.py
analyses/analyze_handoff_circuit.py,MAINLINE,py:2;doc:1,MED,KEEP,"imported_by=handoff_signature.py,test_analyze_handoff_circuit.py"
analyses/block_granularity_scan.py,UNKNOWN,py:0;doc:1,NONE,HUMAN REVIEW,no refs found
analyses/build_gbeta_headset_dataset.py,UNKNOWN,py:0;doc:2,NONE,HUMAN REVIEW,no refs found
analyses/build_l0_dynamic_gbeta_dataset.py,MAINLINE,py:4;sh:1;doc:5,HIGH,KEEP,"imported_by=add_consensus_order_to_gbeta_dataset.py,test_build_l0_dynamic_gbeta_dataset.py,test_eval_l0_dynamic_gbeta.py..."
analyses/canonical_reanalysis.py,MAINLINE,py:12;doc:9,HIGH,KEEP,"imported_by=label_free_pipeline.py,layout_ood_eval.py,p3prime_causal_verify.py..."
analyses/causal_layer_ablation.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,no refs found
analyses/cdl_teacher_ablation.py,MAINLINE,py:1;doc:1,MED,KEEP,imported_by=cdl_teacher_ablation_image.py
analyses/cdl_teacher_ablation_image.py,UNKNOWN,py:0;doc:1,NONE,HUMAN REVIEW,image-line
analyses/cdl_teacher_ablation_image_viz.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,image-line
analyses/characterize_l0_dynamic_gbeta.py,DIAGNOSTIC,py:0;doc:4,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/diag_hook_vs_offline_b.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/diag_model_frame_feedback.py,DIAGNOSTIC,py:0;sh:1;doc:2,LOW-SH,-> scripts|analyses/diagnostics (Phase 2B),sh=queue_model_frame_feedback_diag.sh; diag-name
analyses/diag_shuffled_ar_model_frame_order.py,DIAGNOSTIC,py:0;sh:1;doc:1,LOW-SH,-> scripts|analyses/diagnostics (Phase 2B),sh=queue_shuffled_ar_model_frame_diag.sh; diag-name
analyses/diag_shuffled_l2r_cdl.py,DIAGNOSTIC,py:0;doc:4,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/diagnose_readout_collapse.py,DIAGNOSTIC,py:0;doc:1,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/emergence_characterization.py,MAINLINE,py:9;doc:4,HIGH,KEEP,"imported_by=plot_emergence.py,position_prior_decomp.py,test_emergence_a1.py..."
analyses/eval_frozen_readout_cross_ckpt.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/eval_head_gated_audition.py,DIAGNOSTIC,py:0;sh:1;doc:2,LOW-SH,-> scripts|analyses/diagnostics (Phase 2B),sh=run_head_gated_audition.sh; diag-name
analyses/eval_head_gated_gbeta.py,DIAGNOSTIC,py:0;sh:1;doc:2,LOW-SH,-> scripts|analyses/diagnostics (Phase 2B),sh=run_head_gated_gbeta_distill_full.sh; diag-name
analyses/eval_l0_dynamic_gbeta.py,MAINLINE,py:2;sh:1;doc:5,MED,KEEP,"imported_by=test_eval_l0_dynamic_gbeta.py,test_eval_l0_dynamic_gbeta_losses.py"
analyses/gbeta_input_sanity_final.py,MAINLINE,py:1;doc:27,MED,KEEP,imported_by=run_gbeta_sanity_save_json.py
analyses/graph_diversity_20260521/analyze_diversity.py,UNKNOWN,py:0;doc:1,NONE,HUMAN REVIEW,no refs found
analyses/graph_diversity_20260521/extract_per_sample_gB.py,UNKNOWN,py:0;doc:3,NONE,HUMAN REVIEW,no refs found
analyses/handoff_carrier_config.py,MAINLINE,py:3;doc:3,HIGH,KEEP,"imported_by=emergence_characterization.py,path_patch_handoff.py,test_handoff_carrier_config.py"
analyses/handoff_signature.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,no refs found
analyses/head_drift_diagnostic.py,LAUNCH_HELPER,py:0;sh:1,LOW-SH,KEEP (launcher dep),sh=queue_head_gated_gbeta_joint.sh
analyses/head_stability_seed2.py,UNKNOWN,py:0;doc:1,NONE,HUMAN REVIEW,no refs found
analyses/label_free_pipeline.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,no refs found
analyses/layout_ood_eval.py,MAINLINE,py:1;doc:1,MED,KEEP,imported_by=test_layout_ood_eval.py
analyses/order_eval_ladder.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,no refs found
analyses/order_head_module.py,MAINLINE,py:4;doc:4,HIGH,KEEP,"imported_by=v3_feasibility_smoke.py,test_aogpt_with_orderhead.py,test_order_head_module.py..."
analyses/p3prime_causal_verify.py,MAINLINE,py:10;doc:3,HIGH,KEEP,"imported_by=test_p3prime_a0.py,test_p3prime_a1_local.py,test_p3prime_a1_loko.py..."
analyses/p5_ood_layout.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,no refs found
analyses/p5_utility_controller.py,MAINLINE,py:29;doc:10,HIGH,KEEP,"imported_by=order_head_module.py,p5_ood_layout.py,p6_cdl_sanity.py..."
analyses/p6_cdl_sanity.py,UNKNOWN,py:0;doc:1,NONE,HUMAN REVIEW,no refs found
analyses/p6_cdl_sanity_v2.py,UNKNOWN,py:0;doc:1,NONE,HUMAN REVIEW,no refs found
analyses/p6_easy_first_control.py,MAINLINE,py:1;doc:2,MED,KEEP,imported_by=p7_predictability_probe.py
analyses/p6_h_order_evolution.py,UNKNOWN,py:0;doc:1,NONE,HUMAN REVIEW,no refs found
analyses/p6_h_residual_modulation.py,MAINLINE,py:2;doc:1,MED,KEEP,"imported_by=test_p6_h_residual.py,run_p6_hres_replication.py"
analyses/p6_online_controller.py,MAINLINE,py:7;doc:2,HIGH,KEEP,"imported_by=p6_cdl_sanity.py,p6_cdl_sanity_v2.py,p6_h_order_evolution.py..."
analyses/p6_oracle_headroom.py,MAINLINE,py:4;doc:1,HIGH,KEEP,"imported_by=p6_easy_first_control.py,p7_gbeta_policy.py,p7_predictability_probe.py..."
analyses/p6_what_h_encodes.py,UNKNOWN,py:0;doc:1,NONE,HUMAN REVIEW,no refs found
analyses/p7_gbeta_policy.py,MAINLINE,py:5;doc:6,HIGH,KEEP,"imported_by=order_head_module.py,v3_feasibility_smoke.py,test_aogpt_with_orderhead.py..."
