key,group,n,mean_abs_diff,rms_diff,mean_abs_a,mean_abs_b,cosine
lm_head.bias,other,50304,0.003663655137643218,0.004722175188362598,0.09933093190193176,0.09954541176557541,0.9993384468859009
lm_head.weight,other,19316736,0.022276710718870163,0.029190553352236748,0.05195744335651398,0.05201619490981102,0.8998473312171399
transformer.final_layer.adaLN_final.1.bias,other,768,0.022093703970313072,0.03847387433052063,0.25367388129234314,0.2533223330974579,0.9926508991932944
transformer.final_layer.adaLN_final.1.weight,other,98304,0.03141869232058525,0.04481062293052673,0.07630336284637451,0.07757876068353653,0.9214690043346045
transformer.final_layer.ln_f.weight,norm,384,0.036195058375597,0.05262596160173416,1.4225993156433105,1.4223984479904175,0.9993209149015942
transformer.h.0.adaLN.1.bias,other,2304,0.016657806932926178,0.025565244257450104,0.059248797595500946,0.06039563938975334,0.9472532169020019
transformer.h.0.adaLN.1.weight,other,294912,0.028671840205788612,0.040946174412965775,0.03541587293148041,0.03520356863737106,0.6582546737966691
transformer.h.0.attn.c_attn.weight,c_attn,442368,0.037032485008239746,0.0489594005048275,0.03924645483493805,0.039261896163225174,0.5487179531940705
transformer.h.0.attn.c_proj.weight,c_proj,147456,0.03327454626560211,0.043179843574762344,0.03338855132460594,0.033203791826963425,0.4932087232943651
transformer.h.0.attn.k_norm.weight,q_norm_k_norm,48,0.13778935372829437,0.19938337802886963,1.5572713613510132,1.5222948789596558,0.992190536548728
transformer.h.0.attn.q_norm.weight,q_norm_k_norm,48,0.13778942823410034,0.19938373565673828,1.5572720766067505,1.522295355796814,0.9921903117409059
transformer.h.0.ln_1.weight,norm,384,0.021774418652057648,0.02798437885940075,0.901146411895752,0.9011685848236084,0.9995189395610486
transformer.h.0.ln_2.weight,norm,384,0.03194187954068184,0.044103480875492096,0.9444628357887268,0.9404210448265076,0.9989186065363178
transformer.h.0.mlp.c_fc.weight,mlp,589824,0.043807003647089005,0.05582817271351814,0.04404338821768761,0.043977051973342896,0.4996466766425306
transformer.h.0.mlp.c_proj.weight,c_proj,589824,0.04393159970641136,0.05629311874508858,0.0377284400165081,0.03790685161948204,0.3262216424289725
transformer.h.1.adaLN.1.bias,other,2304,0.01838577166199684,0.02979552187025547,0.04153577610850334,0.04070271551609039,0.8514138318113778
transformer.h.1.adaLN.1.weight,other,294912,0.03197919577360153,0.04599975049495697,0.044866833835840225,0.0459454208612442,0.7408487866030903
transformer.h.1.attn.c_attn.weight,c_attn,442368,0.05130110681056976,0.06738057732582092,0.04104653000831604,0.04072365164756775,0.233238886056008
