key,group,n,mean_abs_diff,rms_diff,mean_abs_a,mean_abs_b,cosine
lm_head.bias,other,50304,0.0032951964531093836,0.004350192844867706,0.09954541176557541,0.0995945855975151,0.999433610238477
lm_head.weight,other,19316736,0.020304154604673386,0.026698190718889236,0.05201619490981102,0.05202023684978485,0.9166047348537023
transformer.final_layer.adaLN_final.1.bias,other,768,0.019553758203983307,0.0341307669878006,0.2533223330974579,0.25436195731163025,0.9942384315176447
transformer.final_layer.adaLN_final.1.weight,other,98304,0.028547370806336403,0.04166264086961746,0.07757876068353653,0.07807466387748718,0.9337233669215326
transformer.final_layer.ln_f.weight,norm,384,0.03197786957025528,0.04659783095121384,1.4223984479904175,1.4229656457901,0.9994680420999832
transformer.h.0.adaLN.1.bias,other,2304,0.014111732132732868,0.022515520453453064,0.06039563938975334,0.061124663800001144,0.9602179443759542
transformer.h.0.adaLN.1.weight,other,294912,0.026100970804691315,0.03719291463494301,0.03520356863737106,0.035644736140966415,0.7215731074061187
transformer.h.0.attn.c_attn.weight,c_attn,442368,0.033254992216825485,0.04414413496851921,0.039261896163225174,0.03933984786272049,0.6315250870586104
transformer.h.0.attn.c_proj.weight,c_proj,147456,0.029516180977225304,0.038249172270298004,0.033203791826963425,0.033111367374658585,0.5980879784112361
transformer.h.0.attn.k_norm.weight,q_norm_k_norm,48,0.13116727769374847,0.19030028581619263,1.5222948789596558,1.5105012655258179,0.9924422166763066
transformer.h.0.attn.q_norm.weight,q_norm_k_norm,48,0.13116736710071564,0.19030041992664337,1.522295355796814,1.510501742362976,0.9924421536784461
transformer.h.0.ln_1.weight,norm,384,0.02083427645266056,0.02801072783768177,0.9011685848236084,0.899851381778717,0.9995185674615243
transformer.h.0.ln_2.weight,norm,384,0.028776079416275024,0.04012902081012726,0.9404210448265076,0.930626392364502,0.99914667070401
transformer.h.0.mlp.c_fc.weight,mlp,589824,0.040107373148202896,0.05118756368756294,0.043977051973342896,0.043619174510240555,0.5755445195710918
transformer.h.0.mlp.c_proj.weight,c_proj,589824,0.040753304958343506,0.05228530988097191,0.03790685161948204,0.037663865834474564,0.4183706827152493
transformer.h.1.adaLN.1.bias,other,2304,0.015500109642744064,0.027112765237689018,0.04070271551609039,0.04173854738473892,0.8803402203536241
transformer.h.1.adaLN.1.weight,other,294912,0.029330097138881683,0.04198886454105377,0.0459454208612442,0.04607910290360451,0.7906233409333066
transformer.h.1.attn.c_attn.weight,c_attn,442368,0.047499965876340866,0.06260166317224503,0.04072365164756775,0.040398240089416504,0.332475698889336
transformer.h.1.attn.c_proj.weight,c_proj,147456,0.04934266209602356,0.06359443068504333,0.04157320037484169,0.040117666125297546,0.2750158135674488
transformer.h.1.attn.k_norm.weight,q_norm_k_norm,48,0.25647854804992676,0.32030636072158813,1.5880228281021118,1.5107167959213257,0.9802225647388261
transformer.h.1.attn.q_norm.weight,q_norm_k_norm,48,0.2564781904220581,0.3203057050704956,1.5880231857299805,1.5107173919677734,0.9802226295965083
transformer.h.1.ln_1.weight,norm,384,0.02733762003481388,0.03494850546121597,1.0084832906723022,1.0103541612625122,0.9994065331874524
transformer.h.1.ln_2.weight,norm,384,0.02693919837474823,0.046698618680238724,0.9808387756347656,0.9901334643363953,0.9989308220423273
transformer.h.1.mlp.c_fc.weight,mlp,589824,0.04144603759050369,0.052866965532302856,0.044776491820812225,0.044993046671152115,0.5655385122581541
transformer.h.1.mlp.c_proj.weight,c_proj,589824,0.04305436089634895,0.054875314235687256,0.040887460112571716,0.041125357151031494,0.44301185168594054
transformer.h.2.adaLN.1.bias,other,2304,0.017428990453481674,0.031273070722818375,0.05702917277812958,0.05597100034356117,0.9038466133088452
transformer.h.2.adaLN.1.weight,other,294912,0.03413645923137665,0.05223041772842407,0.05661771073937416,0.055479392409324646,0.759528301559862
transformer.h.2.attn.c_attn.weight,c_attn,442368,0.047660861164331436,0.06178490072488785,0.04343445599079132,0.04334711655974388,0.39835843775483554
transformer.h.2.attn.c_proj.weight,c_proj,147456,0.048680201172828674,0.06326840072870255,0.044296376407146454,0.04435952380299568,0.37737387487562046
transformer.h.2.attn.k_norm.weight,q_norm_k_norm,48,0.2107701301574707,0.2560691833496094,1.9011520147323608,1.9916213750839233,0.9925347595538843
transformer.h.2.attn.q_norm.weight,q_norm_k_norm,48,0.21076951920986176,0.25606873631477356,1.901157021522522,1.9916259050369263,0.9925348153062206
transformer.h.2.ln_1.weight,norm,384,0.040112387388944626,0.05575122311711311,1.0220774412155151,1.0141931772232056,0.9985400434975069
