step,diffuse_count,mass_entropy,softmax_entropy,top1_layer_share,strong_L0,strong_L1,strong_L2,strong_L3
0,32,3.4646,3.4651,0.2519,0,0,0,0
200,32,3.4638,3.4643,0.2594,2,0,0,0
400,32,3.4644,3.4647,0.2553,1,1,0,1
600,32,3.4645,3.4648,0.2525,2,1,1,1
800,32,3.4647,3.465,0.2528,0,1,0,1
1000,32,3.4643,3.4647,0.2538,0,0,0,0
1200,32,3.4643,3.4647,0.2504,0,0,0,1
1400,20,3.4559,3.4604,0.2638,1,0,0,0
1600,9,3.428,3.4531,0.2836,1,0,0,0
1800,6,3.3752,3.4447,0.2949,0,0,0,0
2000,6,3.354,3.4424,0.3104,0,0,0,0
2200,5,3.382,3.4471,0.3061,0,0,0,0
2400,7,3.3693,3.4454,0.2957,0,0,0,0
2600,6,3.3818,3.4462,0.2991,0,0,0,0
2800,6,3.3249,3.4417,0.2978,0,0,0,0
3000,6,3.37,3.4448,0.2955,0,0,0,0
3200,5,3.3512,3.444,0.2862,0,0,0,0
3400,5,3.3694,3.4467,0.2996,0,0,0,0
3600,4,3.357,3.4442,0.2946,0,0,0,0
3800,6,3.3471,3.4429,0.2788,0,0,0,0
4000,5,3.3531,3.4441,0.2874,0,0,0,0
4200,4,3.3622,3.4444,0.2963,0,0,0,0
4400,5,3.3192,3.441,0.2913,0,0,0,0
4600,5,3.339,3.4408,0.2937,0,0,0,0
4800,5,3.3115,3.4372,0.3006,0,0,0,0
5000,5,3.3179,3.4395,0.2804,0,0,0,0
5200,4,3.3213,3.4408,0.2879,0,0,0,0
5400,6,3.325,3.4396,0.3084,0,0,0,0
5600,4,3.3407,3.4409,0.305,0,0,0,0
5800,5,3.3338,3.441,0.2898,0,0,0,0
6000,5,3.337,3.442,0.3107,0,0,0,0
6200,5,3.3297,3.4411,0.2944,0,0,0,0
6400,5,3.3261,3.441,0.2882,0,0,0,0
6600,4,3.3441,3.4432,0.2984,0,0,0,0
6800,4,3.3263,3.4408,0.2979,0,0,0,0
7000,6,3.3258,3.4403,0.3028,0,0,0,0
7200,5,3.309,3.4385,0.3016,0,0,0,0
7400,6,3.306,3.4388,0.297,0,0,0,0
7600,4,3.3068,3.4391,0.2931,0,0,0,0
7800,5,3.3098,3.4391,0.3183,0,0,0,0
8000,6,3.2764,3.4362,0.2938,0,0,0,0
8200,4,3.3037,3.4405,0.2993,0,0,0,0
8400,5,3.3174,3.4398,0.307,0,0,0,0
8600,5,3.3131,3.4404,0.3011,0,0,0,0
8800,4,3.2967,3.439,0.2932,0,0,0,0
9000,3,3.3091,3.4396,0.2979,0,0,0,0
9200,4,3.3044,3.44,0.2939,0,0,0,0
9400,4,3.2889,3.4386,0.2902,0,0,0,0
9600,4,3.3118,3.4408,0.2907,0,0,0,0
9800,3,3.3197,3.441,0.2884,0,0,0,0
10000,4,3.2918,3.4379,0.2857,0,0,0,0
