Run kind: baseline
graph_rw_active: False  alpha_active: False
alpha_schedule: constant 0.0 (run_kind=baseline short-circuits alpha_for_step). Any rw_* CLI flags are ignored at training time.
shuffle_granularity: 64 (groups of 4 tokens)
Output dir: runs/handoff_overnight/seed123
Device: cuda:0
[data-source=continuous] memmap streams train=/home/admin/ych/nanogpt-learned-order/data/wikitext103/train.bin val=/home/admin/ych/nanogpt-learned-order/data/wikitext103/val.bin
[continuous] train stream tokens=118496151 eval windows=2000 (block=256)
[attn_trajectory] enabled — 16 fixed samples, heatmap every 5000 steps, output=runs/handoff_overnight/seed123/attention_trajectory
[Eval @ 0] alpha=0.0000
[Eval @ 0] train_obj=10.8942 | ori_l2r=10.8922 | model_order=10.8943 | unstructured=10.8942 | rw=10.8941
[attn_traj] fixed 16 attention samples, indices_hash=0xf363957
[attn_traj] heatmaps saved @ step 0 (extraction 0.4s)
Saved checkpoint: runs/handoff_overnight/seed123/ckpt_step0.pt
step     0->    1/10000 | loss=10.8928 | alpha=0.000 | lr=1.00e-03 | 3.01s/step | ETA 8.4h | total 30s
step    10->   11/10000 | loss=7.9891 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 41m | total 33s
step    20->   21/10000 | loss=7.5376 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 41m | total 35s
step    30->   31/10000 | loss=7.5422 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 41m | total 37s
step    40->   41/10000 | loss=7.4332 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 40s
step    50->   51/10000 | loss=7.1695 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 41m | total 42s
step    60->   61/10000 | loss=7.0282 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 41m | total 45s
step    70->   71/10000 | loss=6.7848 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 41m | total 47s
step    80->   81/10000 | loss=6.6416 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 50s
step    90->   91/10000 | loss=6.5674 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 52s
step   100->  101/10000 | loss=6.5028 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 55s
step   110->  111/10000 | loss=6.3934 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 57s
step   120->  121/10000 | loss=6.4355 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 59s
step   130->  131/10000 | loss=6.2912 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 62s
step   140->  141/10000 | loss=6.2636 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 64s
step   150->  151/10000 | loss=6.3009 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 67s
step   160->  161/10000 | loss=6.1957 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 69s
step   170->  171/10000 | loss=6.1800 | alpha=0.000 | lr=1.00e-03 | 0.25s/step | ETA 40m | total 72s
step   180->  181/10000 | loss=6.1518 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 74s
step   190->  191/10000 | loss=6.0846 | alpha=0.000 | lr=1.00e-03 | 0.25s/step | ETA 40m | total 77s
[Eval @ 200] alpha=0.0000
[Eval @ 200] train_obj=6.0389 | ori_l2r=5.9810 | model_order=6.0407 | unstructured=6.0389 | rw=6.0317
step   200->  201/10000 | loss=6.1041 | alpha=0.000 | lr=1.00e-03 | 2.80s/step | ETA 7.6h | total 105s
step   210->  211/10000 | loss=5.9692 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 107s
step   220->  221/10000 | loss=6.0400 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 110s
step   230->  231/10000 | loss=6.0645 | alpha=0.000 | lr=1.00e-03 | 0.25s/step | ETA 40m | total 112s
step   240->  241/10000 | loss=5.9621 | alpha=0.000 | lr=1.00e-03 | 0.25s/step | ETA 40m | total 114s
step   250->  251/10000 | loss=5.9437 | alpha=0.000 | lr=1.00e-03 | 0.25s/step | ETA 40m | total 117s
step   260->  261/10000 | loss=5.9626 | alpha=0.000 | lr=1.00e-03 | 0.25s/step | ETA 40m | total 119s
step   270->  271/10000 | loss=5.8635 | alpha=0.000 | lr=1.00e-03 | 0.25s/step | ETA 40m | total 122s
step   280->  281/10000 | loss=5.8827 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 124s
step   290->  291/10000 | loss=5.8903 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 127s
step   300->  301/10000 | loss=5.8784 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 129s
step   310->  311/10000 | loss=5.8364 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 132s
step   320->  321/10000 | loss=5.7424 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 134s
step   330->  331/10000 | loss=5.8179 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 136s
step   340->  341/10000 | loss=5.7974 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 139s
step   350->  351/10000 | loss=5.7911 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 141s
step   360->  361/10000 | loss=5.8099 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 144s
step   370->  371/10000 | loss=5.7123 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 146s
step   380->  381/10000 | loss=5.7409 | alpha=0.000 | lr=1.00e-03 | 0.25s/step | ETA 39m | total 149s
step   390->  391/10000 | loss=5.7289 | alpha=0.000 | lr=1.00e-03 | 0.25s/step | ETA 39m | total 151s
[Eval @ 400] alpha=0.0000
[Eval @ 400] train_obj=5.6866 | ori_l2r=5.6194 | model_order=5.6875 | unstructured=5.6866 | rw=5.6780
step   400->  401/10000 | loss=5.7639 | alpha=0.000 | lr=1.00e-03 | 2.80s/step | ETA 7.5h | total 179s
step   410->  411/10000 | loss=5.7047 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 182s
step   420->  421/10000 | loss=5.6565 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 184s
step   430->  431/10000 | loss=5.7130 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 186s
step   440->  441/10000 | loss=5.6760 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 189s
step   450->  451/10000 | loss=5.6291 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 191s
step   460->  461/10000 | loss=5.6685 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 194s
step   470->  471/10000 | loss=5.6575 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 196s
step   480->  481/10000 | loss=5.7120 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 199s
step   490->  491/10000 | loss=5.5345 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 201s
step   500->  501/10000 | loss=5.6204 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 203s
step   510->  511/10000 | loss=5.6698 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 206s
step   520->  521/10000 | loss=5.6254 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 208s
step   530->  531/10000 | loss=5.5210 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 211s
step   540->  541/10000 | loss=5.6138 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 213s
step   550->  551/10000 | loss=5.6335 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 216s
step   560->  561/10000 | loss=5.5696 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 218s
step   570->  571/10000 | loss=5.6316 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 221s
step   580->  581/10000 | loss=5.5670 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 223s
step   590->  591/10000 | loss=5.5240 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 225s
[Eval @ 600] alpha=0.0000
[Eval @ 600] train_obj=5.5291 | ori_l2r=5.4557 | model_order=5.5300 | unstructured=5.5291 | rw=5.5196
step   600->  601/10000 | loss=5.5748 | alpha=0.000 | lr=1.00e-03 | 2.82s/step | ETA 7.4h | total 254s
step   610->  611/10000 | loss=5.6111 | alpha=0.000 | lr=1.00e-03 | 0.25s/step | ETA 38m | total 256s
step   620->  621/10000 | loss=5.5613 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 259s
step   630->  631/10000 | loss=5.6234 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 261s
step   640->  641/10000 | loss=5.5483 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 263s
step   650->  651/10000 | loss=5.5185 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 266s
step   660->  661/10000 | loss=5.5337 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 268s
step   670->  671/10000 | loss=5.5834 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 271s
step   680->  681/10000 | loss=5.4999 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 273s
step   690->  691/10000 | loss=5.5219 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 276s
step   700->  701/10000 | loss=5.5847 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 278s
step   710->  711/10000 | loss=5.5182 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 281s
step   720->  721/10000 | loss=5.4397 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 283s
step   730->  731/10000 | loss=5.5071 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 285s
step   740->  741/10000 | loss=5.5318 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 288s
step   750->  751/10000 | loss=5.5059 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 290s
step   760->  761/10000 | loss=5.4786 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 38m | total 293s
step   770->  771/10000 | loss=5.4294 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 38m | total 295s
