Run kind: baseline
graph_rw_active: False  alpha_active: False
alpha_schedule: constant 0.0 (run_kind=baseline short-circuits alpha_for_step). Any rw_* CLI flags are ignored at training time.
shuffle_granularity: 64 (groups of 4 tokens)
Output dir: runs/handoff_overnight/seed2
Device: cuda:0
[data-source=continuous] memmap streams train=/home/admin/ych/nanogpt-learned-order/data/wikitext103/train.bin val=/home/admin/ych/nanogpt-learned-order/data/wikitext103/val.bin
[continuous] train stream tokens=118496151 eval windows=2000 (block=256)
[attn_trajectory] enabled — 16 fixed samples, heatmap every 5000 steps, output=runs/handoff_overnight/seed2/attention_trajectory
[Eval @ 0] alpha=0.0000
[Eval @ 0] train_obj=10.9009 | ori_l2r=10.9008 | model_order=10.9008 | unstructured=10.9009 | rw=10.9008
[attn_traj] fixed 16 attention samples, indices_hash=0x7b01409d
[attn_traj] heatmaps saved @ step 0 (extraction 0.4s)
Saved checkpoint: runs/handoff_overnight/seed2/ckpt_step0.pt
step     0->    1/10000 | loss=10.8999 | alpha=0.000 | lr=1.00e-03 | 3.00s/step | ETA 8.3h | total 30s
step    10->   11/10000 | loss=8.0667 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 41m | total 32s
step    20->   21/10000 | loss=7.5300 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 41m | total 35s
step    30->   31/10000 | loss=7.5101 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 41m | total 37s
step    40->   41/10000 | loss=7.4175 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 41m | total 40s
step    50->   51/10000 | loss=7.2647 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 42s
step    60->   61/10000 | loss=7.0226 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 45s
step    70->   71/10000 | loss=6.8732 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 47s
step    80->   81/10000 | loss=6.6834 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 50s
step    90->   91/10000 | loss=6.6228 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 52s
step   100->  101/10000 | loss=6.4959 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 54s
step   110->  111/10000 | loss=6.4327 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 57s
step   120->  121/10000 | loss=6.4449 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 59s
step   130->  131/10000 | loss=6.3405 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 62s
step   140->  141/10000 | loss=6.2906 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 64s
