Run kind: baseline
graph_rw_active: False  alpha_active: False
alpha_schedule: constant 0.0 (run_kind=baseline short-circuits alpha_for_step). Any rw_* CLI flags are ignored at training time.
shuffle_granularity: 64 (groups of 4 tokens)
Output dir: runs/handoff_overnight/seed42
Device: cuda:0
[data-source=continuous] memmap streams train=/home/admin/ych/nanogpt-learned-order/data/wikitext103/train.bin val=/home/admin/ych/nanogpt-learned-order/data/wikitext103/val.bin
[continuous] train stream tokens=118496151 eval windows=2000 (block=256)
[attn_trajectory] enabled — 16 fixed samples, heatmap every 5000 steps, output=runs/handoff_overnight/seed42/attention_trajectory
[Eval @ 0] alpha=0.0000
[Eval @ 0] train_obj=10.9011 | ori_l2r=10.9014 | model_order=10.9017 | unstructured=10.9011 | rw=10.9013
[attn_traj] fixed 16 attention samples, indices_hash=0xfd22fda5
[attn_traj] heatmaps saved @ step 0 (extraction 0.3s)
Saved checkpoint: runs/handoff_overnight/seed42/ckpt_step0.pt
step     0->    1/10000 | loss=10.9012 | alpha=0.000 | lr=1.00e-03 | 2.98s/step | ETA 8.3h | total 30s
step    10->   11/10000 | loss=8.0532 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 41m | total 32s
step    20->   21/10000 | loss=7.5416 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 41m | total 35s
step    30->   31/10000 | loss=7.5407 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 37s
step    40->   41/10000 | loss=7.5043 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 39s
step    50->   51/10000 | loss=7.2870 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 42s
step    60->   61/10000 | loss=7.1674 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 44s
step    70->   71/10000 | loss=6.8945 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 47s
step    80->   81/10000 | loss=6.6908 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 49s
step    90->   91/10000 | loss=6.6431 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 52s
step   100->  101/10000 | loss=6.5487 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 54s
step   110->  111/10000 | loss=6.4791 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 57s
step   120->  121/10000 | loss=6.3508 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 59s
step   130->  131/10000 | loss=6.3643 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 61s
step   140->  141/10000 | loss=6.2664 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 64s
step   150->  151/10000 | loss=6.2737 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 66s
step   160->  161/10000 | loss=6.1906 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 69s
step   170->  171/10000 | loss=6.1909 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 71s
step   180->  181/10000 | loss=6.1712 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 74s
step   190->  191/10000 | loss=6.1302 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 76s
[Eval @ 200] alpha=0.0000
[Eval @ 200] train_obj=6.0377 | ori_l2r=5.9842 | model_order=6.0390 | unstructured=6.0377 | rw=6.0311
step   200->  201/10000 | loss=6.1128 | alpha=0.000 | lr=1.00e-03 | 2.76s/step | ETA 7.5h | total 104s
step   210->  211/10000 | loss=6.0332 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 106s
step   220->  221/10000 | loss=6.0120 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 109s
step   230->  231/10000 | loss=6.0242 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 111s
step   240->  241/10000 | loss=5.9736 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 113s
step   250->  251/10000 | loss=5.9685 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 116s
step   260->  261/10000 | loss=5.8681 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 118s
step   270->  271/10000 | loss=5.9518 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 40m | total 121s
step   280->  281/10000 | loss=5.9581 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 123s
step   290->  291/10000 | loss=5.9142 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 126s
step   300->  301/10000 | loss=5.8361 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 128s
step   310->  311/10000 | loss=5.8336 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 131s
step   320->  321/10000 | loss=5.8673 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 133s
step   330->  331/10000 | loss=5.8420 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 135s
step   340->  341/10000 | loss=5.7415 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 138s
step   350->  351/10000 | loss=5.7657 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 140s
step   360->  361/10000 | loss=5.7804 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 143s
step   370->  371/10000 | loss=5.7360 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 145s
step   380->  381/10000 | loss=5.7442 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 148s
step   390->  391/10000 | loss=5.7635 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 150s
[Eval @ 400] alpha=0.0000
[Eval @ 400] train_obj=5.6819 | ori_l2r=5.6158 | model_order=5.6827 | unstructured=5.6819 | rw=5.6743
step   400->  401/10000 | loss=5.7251 | alpha=0.000 | lr=1.00e-03 | 2.77s/step | ETA 7.4h | total 178s
step   410->  411/10000 | loss=5.6984 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 180s
step   420->  421/10000 | loss=5.7738 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 183s
step   430->  431/10000 | loss=5.7025 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 185s
step   440->  441/10000 | loss=5.6605 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 188s
step   450->  451/10000 | loss=5.7129 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 190s
step   460->  461/10000 | loss=5.6839 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 192s
step   470->  471/10000 | loss=5.7006 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 195s
step   480->  481/10000 | loss=5.6801 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 197s
step   490->  491/10000 | loss=5.6966 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 200s
step   500->  501/10000 | loss=5.6900 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 202s
step   510->  511/10000 | loss=5.6362 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 205s
step   520->  521/10000 | loss=5.6734 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 207s
step   530->  531/10000 | loss=5.5332 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 209s
step   540->  541/10000 | loss=5.5817 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 212s
step   550->  551/10000 | loss=5.6666 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 214s
