seed,stage,intervention,target_layer,target_heads,mean_tau_before,mean_tau_after,n_strong_before,n_strong_after,delta_global_tau
2,1a,full,1,"[0, 3, 5, 7]",0.5073,0.4924,0,0,0.0
2,1a,loo,1,"[3, 5, 7]",0.5073,0.5063,0,0,0.0
2,1a,loo,1,"[0, 5, 7]",0.5073,0.4975,0,0,0.0
2,1a,loo,1,"[0, 3, 7]",0.5073,0.5103,0,0,0.0
2,1a,loo,1,"[0, 3, 5]",0.5073,0.51,0,0,0.0
2,1a,single,1,[0],0.5073,0.5088,0,0,0.0
2,1a,single,1,[3],0.5073,0.5128,0,0,0.0
2,1a,single,1,[5],0.5073,0.5039,0,0,0.0
2,1a,single,1,[7],0.5073,0.5131,0,0,0.0
2,1a,null,1,"[4, 6]",0.5073,0.5082,0,0,0.0
2,1b,L0-source,0,"[1, 6, 7]",0.7333,0.7179,3,3,0.0
2,1b,null,0,"[5, 2, 3]",0.7333,0.7587,3,3,0.0
